,,overall_accuracy,overall_accuracy,energy_violations,convergence_time
,,mean,std,sum,mean
algorithm_name,frequency,,,,
Coverage,0.05,0.4617,0.0646,0,-1.0
Coverage,0.1,0.4528,0.0459,0,-1.0
Coverage,0.5,0.4522,0.0168,0,-1.0
Fixed-Freq,0.05,0.4915,0.0341,0,-1.0
Fixed-Freq,0.1,0.4512,0.0252,0,-1.0
Fixed-Freq,0.5,0.4655,0.0293,0,-1.0
Greedy-Energy,0.05,0.4779,0.0681,0,-1.0
Greedy-Energy,0.1,0.4287,0.0393,0,-1.0
Greedy-Energy,0.5,0.4507,0.0162,0,-1.0
Random,0.05,0.4196,0.0664,0,-1.0
Random,0.1,0.4162,0.0302,0,-1.0
Random,0.5,0.4269,0.0172,0,-1.0
Round-Robin,0.05,0.447,0.0494,0,-1.0
Round-Robin,0.1,0.4449,0.0215,0,-1.0
Round-Robin,0.5,0.4426,0.0153,0,-1.0
Threshold,0.05,0.3699,0.0528,0,-1.0
Threshold,0.1,0.4024,0.0199,0,-1.0
Threshold,0.5,0.0352,0.0164,0,409.7814
Unknown-Freq,0.05,0.4958,0.1907,0,-1.0
Unknown-Freq,0.1,0.482,0.1448,0,1597.8312
Unknown-Freq,0.5,0.4903,0.1811,0,393.6084
Variable-Freq,0.05,0.4544,0.0253,0,-1.0
Variable-Freq,0.1,0.4593,0.0788,0,-1.0
Variable-Freq,0.5,0.4602,0.0669,0,564.6713
